country,FIN,ENG
Suomi,Äänekoski,Äänekoski
Suomi,Ähtäri,Ähtäri
Suomi,Akaa,Akaa
Suomi,Alajärvi,Alajärvi
Suomi,Alavus,Alavus
Suomi,Espoo,Espoo
Suomi,Forssa,Forssa
Suomi,Haapajärvi,Haapajärvi
Suomi,Haapavesi,Haapavesi
Suomi,Hämeenlinna,Hämeenlinna
Suomi,Hamina,Hamina
Suomi,Hanko,Hanko
Suomi,Harjavalta,Harjavalta
Suomi,Heinola,Heinola
Suomi,Helsinki,Helsinki
Suomi,Huittinen,Huittinen
Suomi,Hyvinkää,Hyvinkää
Suomi,Iisalmi,Iisalmi
Suomi,Ikaalinen,Ikaalinen
Suomi,Imatra,Imatra
Suomi,Jämsä,Jämsä
Suomi,Järvenpää,Järvenpää
Suomi,Joensuu,Joensuu
Suomi,Jyväskylä,Jyväskylä
Suomi,Kaarina,Kaarina
Suomi,Kajaani,Kajaani
Suomi,Kalajoki,Kalajoki
Suomi,Kankaanpää,Kankaanpää
Suomi,Kannus,Kannus
Suomi,Karkkila,Karkkila
Suomi,Kaskinen,Kaskinen
Suomi,Kauhajoki,Kauhajoki
Suomi,Kauhava,Kauhava
Suomi,Kauniainen,Kauniainen
Suomi,Kemi,Kemi
Suomi,Kemijärvi,Kemijärvi
Suomi,Kerava,Kerava
Suomi,Keuruu,Keuruu
Suomi,Kitee,Kitee
Suomi,Kiuruvesi,Kiuruvesi
Suomi,Kokemäki,Kokemäki
Suomi,Kokkola,Kokkola
Suomi,Kotka,Kotka
Suomi,Kouvola,Kouvola
Suomi,Kristiinankaupunki,Kristiinankaupunki
Suomi,Kuhmo,Kuhmo
Suomi,Kuopio,Kuopio
Suomi,Kurikka,Kurikka
Suomi,Kuusamo,Kuusamo
Suomi,Lahti,Lahti
Suomi,Laitila,Laitila
Suomi,Lappeenranta,Lappeenranta
Suomi,Lapua,Lapua
Suomi,Lieksa,Lieksa
Suomi,Lohja,Lohja
Suomi,Loimaa,Loimaa
Suomi,Loviisa,Loviisa
Suomi,Maarianhamina,Maarianhamina
Suomi,Mänttä-Vilppula,Mänttä-Vilppula
Suomi,Mikkeli,Mikkeli
Suomi,Naantali,Naantali
Suomi,Närpiö,Närpiö
Suomi,Nivala,Nivala
Suomi,Nokia,Nokia
Suomi,Nurmes,Nurmes
Suomi,Orimattila,Orimattila
Suomi,Orivesi,Orivesi
Suomi,Oulainen,Oulainen
Suomi,Oulu,Oulu
Suomi,Outokumpu,Outokumpu
Suomi,Paimio,Paimio
Suomi,Parainen,Parainen
Suomi,Parkano,Parkano
Suomi,Pieksämäki,Pieksämäki
Suomi,Pietarsaari,Pietarsaari
Suomi,Pori,Pori
Suomi,Porvoo,Porvoo
Suomi,Pudasjärvi,Pudasjärvi
Suomi,Pyhäjärvi,Pyhäjärvi
Suomi,Raahe,Raahe
Suomi,Raasepori,Raasepori
Suomi,Raisio,Raisio
Suomi,Rauma,Rauma
Suomi,Riihimäki,Riihimäki
Suomi,Rovaniemi,Rovaniemi
Suomi,Saarijärvi,Saarijärvi
Suomi,Salo,Salo
Suomi,Sastamala,Sastamala
Suomi,Savonlinna,Savonlinna
Suomi,Seinäjoki,Seinäjoki
Suomi,Somero,Somero
Suomi,Suonenjoki,Suonenjoki
Suomi,Tampere,Tampere
Suomi,Tornio,Tornio
Suomi,Turku,Turku
Suomi,Ulvila,Ulvila
Suomi,Uusikaarlepyy,Uusikaarlepyy
Suomi,Uusikaupunki,Uusikaupunki
Suomi,Vaasa,Vaasa
Suomi,Valkeakoski,Valkeakoski
Suomi,Vantaa,Vantaa
Suomi,Varkaus,Varkaus
Suomi,Viitasaari,Viitasaari
Suomi,Virrat,Virrat
Suomi,Ylivieska,Ylivieska
Suomi,Ylöjärvi,Ylöjärvi
