restaurant_id,opens_mon,closes_mon,opens_tue,closes_tue,opens_wed,closes_wed,opens_thu,closes_thu,opens_fri,closes_fri,opens_sat,closes_sat,opens_sun,closes_sun
1,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,9:00,22:00,12:00,16:00,12:00,18:00
2,9:00,18:00,9:00,18:00,9:00,18:00,9:00,18:00,9:00,22:00,12:00,16:00,,
5,10:30,16:00,10:30,16:00,10:30,16:00,10:30,16:00,10:30,15:00,,,,
6,10:00,15:00,10:00,15:00,10:00,15:00,10:00,15:00,10:00,15:00,,,,
7,8:00,18:30,8:00,18:30,8:00,18:30,8:00,18:30,8:00,17:00,10:00,15:00,,
8,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,11:00,21:00,13:00,21:00,,
9,10:30,19:00,10:30,19:00,10:30,19:00,10:30,19:00,10:30,19:00,11:30,19:00,,
10,11:00,21:00,10:30,21:00,11:00,21:00,11:00,21:00,12:00,21:00,12:00,20:00,,
11,9:00,22:00,9:00,22:00,9:00,22:00,9:00,22:00,9:00,21:00,12:00,19:00,,
12,16:00,24:00,16:00,24:00,16:00,24:00,16:00,24:00,16:00,01:00,16:00,01:00,16:00,24:00
13,10:30,22:00,10:30,22:00,10:30,22:00,10:30,22:00,10:30,22:00,12:00,22:00,,
